TARGET_PERIOD,FCT_SOURCE,10,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility
2000Q3,32,2.8,,,,,,15,45,30,10,,3.076923076923077
2000Q3,33,2.7,,,,,,10,80,10,,,1.5151515151515151
2000Q3,35,2.8,,,,,,10,25,50,15,,2.898550724637681
2000Q3,36,2.9,,,,,,10,60,30,,,2.1739130434782608
2000Q3,37,3.2,,,,,,,40,60,,,1.9230769230769231
2000Q3,38,3,,,,,,,10,90,,,1.2195121951219512
2000Q3,39,3.1,,,,,,,10,75,15,,1.680672268907563
2000Q3,40,3,,,,,5,15,35,35,10,,3.5714285714285716
2000Q3,41,3,,,,,,,30,70,,,1.7241379310344827
2000Q3,42,3,,,,,,,20,80,,,1.4705882352941178
2000Q3,46,1.9,,,2,17,39,32,9,1,,,3.424657534246575
2000Q3,47,3,,,,,,5,50,40,5,,2.4096385542168677
2000Q3,48,3.7,,,,,,,,30,50,20,2.6315789473684212
2000Q3,49,3.1,,,,,,,,,,,1
2000Q3,50,3.2,,,,,,,,80,20,,1.4705882352941178
2000Q3,53,3,,,,,,,10,70,20,,1.8518518518518519
2000Q3,54,3.5,,,,,,,20,35,35,10,3.389830508474576
2000Q3,55,2.9,,,,.6993007,5.09490509,18.88111888,33.96603397,29.17082917,10.38961039,1.7982018,4.0020009982710505
2000Q3,61,3,,,,,,,50,50,,,2.0
2000Q3,64,3.2,0,1,1,3,5,20,25,30,10,5,4.793863854266539
2000Q3,65,3.4,,,,,,10,35,40,15,,3.1746031746031744
2000Q3,66,3,,,,,,,50,50,,,2.0
2000Q3,67,2.8,,,,,,20,80,,,,1.4705882352941178
2000Q3,70,3.3,,,,,5,5,25,50,10,5,3.0303030303030303
2000Q3,71,3,,,,,3,7,15,50,15,10,3.217503217503218
2000Q3,72,3,,,,,2,10,25,30,20,13,4.549590536851683
2000Q3,73,3.9,,,,,,,,5,70,25,1.8018018018018018
