TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility
2000Sep,64,1.6,1,1,7,20,42,17,8,2,2,3.8819875776397517
2000Sep,65,1.9,,,,35,65,,,,,1.834862385321101
2000Sep,67,1.8,,,,20,60,20,,,,2.272727272727273
2000Sep,70,1.9,,,,10,65,25,,,,2.0202020202020203
2000Sep,72,1.6,4,10,15,20,25,15,7,3,1,6.0606060606060606
2000Sep,73,1.8,,,,15,70,15,,,,1.8691588785046729
2000Sep,76,1.3,,2.5,15,40,30,10,2.5,,,3.5242290748898677
2000Sep,85,.8,11.51,12.69,17.88,19.72,17.02,13.11,5.2,2.05,.82,6.686474679256497
2000Sep,87,1.5,,,5,40,50,5,,,,2.4096385542168677
2000Sep,88,1.2,,,15,55,20,10,,,,2.6666666666666665
2000Sep,89,1.5,,,5,20,40,30,5,,,3.389830508474576
2000Sep,90,1.2,,,,75,25,,,,,1.6
2000Sep,91,1.1,,.6,33.2,61.4,4.8,,,,,2.042650543345044
2000Sep,92,1.77,,1.97094382,8.31047445,19.46561008,27.9487961,24.61647872,13.28863151,4.39906533,,4.914235986669406
2000Sep,94,1.3,,,,50,50,,,,,2.0
2000Sep,95,1.4,,4.95049505,20.79207921,29.7029703,25.74257426,13.86138614,3.96039604,.99009901,,4.5237250545276275
""
TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility
2000Dec,1,1.9,,,,3,80,17,,,,1.492982979994028
2000Dec,3,1.8,,,,10,60,30,,,,2.1739130434782608
2000Dec,4,1.8,,,,,60,30,10,,,2.1739130434782608
2000Dec,5,1.6,,,,5,90,5,,,,1.2269938650306749
2000Dec,7,1.8,,,,,,,,,,1
2000Dec,9,1.8,,,,,70,30,,,,1.7241379310344827
2000Dec,10,1.6,,,10,40,40,10,,,,2.9411764705882355
2000Dec,11,1.4,,,,30,70,,,,,1.7241379310344827
2000Dec,13,2.4,,,,,30,40,20,10,,3.3333333333333335
2000Dec,14,1.1,,,20,80,,,,,,1.4705882352941178
2000Dec,15,1.9,,,,,55,45,,,,1.9801980198019802
2000Dec,16,1.3,,2,18,40,30,8,1,1,,3.4554250172771246
2000Dec,23,1.6,,,,10,80,10,,,,1.5151515151515151
2000Dec,24,1.8,,,,15,50,35,,,,2.5316455696202533
2000Dec,26,1.6,,,,20,60,20,,,,2.272727272727273
2000Dec,28,1.6,,,,30,50,20,,,,2.6315789473684212
2000Dec,29,1.6,,,,10,80,10,,,,1.5151515151515151
2000Dec,30,1.8,,,,,75,25,,,,1.6
2000Dec,32,1.6,,,,20,60,20,,,,2.272727272727273
2000Dec,33,2.2,,,,,8,80,12,,,1.513317191283293
2000Dec,35,2,,,,5.26315789,26.31578947,36.84210526,21.05263158,10.52631579,,3.800000000608001
2000Dec,36,2,,,5,15,50,30,,,,2.73972602739726
2000Dec,37,1.8,,,,,60,40,,,,1.9230769230769231
2000Dec,38,1.9,,,,,50,50,,,,2.0
2000Dec,39,1.6,,,,20,65,15,,,,2.0618556701030926
2000Dec,40,1.7,,,,10,60,20,10,,,2.380952380952381
2000Dec,41,1.5,,,,50,50,,,,,2.0
2000Dec,42,1.4,,,5,70,25,,,,,1.8018018018018018
2000Dec,46,1.05,1,10,35,39,14,1,,,,3.2851511169513796
2000Dec,47,1.6,,,,15,80,5,,,,1.5037593984962405
2000Dec,48,1.7,,,,20,50,30,,,,2.6315789473684212
2000Dec,49,1.6,,,10,35,45,10,,,,2.898550724637681
2000Dec,50,1.3,,,,50,50,,,,,2.0
2000Dec,53,1.6,,,,20,70,10,,,,1.8518518518518519
2000Dec,54,1.7,,,,35,60,5,,,,2.0618556701030926
2000Dec,55,1.6,.09165903,1.09990834,8.15765353,25.02291476,31.16406966,27.4060495,5.95783685,1.00824931,.09165903,4.0771006663032745
2000Dec,57,1.5,,,,15,80,5,,,,1.5037593984962405
2000Dec,61,1.7,,,,20,60,20,,,,2.272727272727273
2000Dec,64,1.7,1,1,7,18,44,17,8,2,2,3.7425149700598803
2000Dec,65,1.8,,,,,75,25,,,,1.6
2000Dec,66,1.8,,,2,15,45,30,8,,,3.107520198881293
2000Dec,67,1.8,,,,,100,,,,,1.0
2000Dec,70,1.8,,,,30,40,25,5,,,3.1746031746031744
2000Dec,71,1.1,3,7,20,40,20,7,3,,,3.9745627980922102
2000Dec,72,1.2,4,10,15,25,20,15,7,3,1,6.0606060606060606
