TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility
2020Jun,110,1.4277728,.0384334771,.1926587168,1.2775382694,9.1286610547,18.7909485231,25.717910089,22.999466378,13.4388087898,4.9693608828,2.7954870135,.5684822306,.0822445752,5.429087779630622,,,,,,,,
2020Jun,112,1.1,,,5,10,20,30,20,10,5,,,,5.128205128205129,,,,,,,,
2020Jun,114,1.9,,,,,,,,,,,,,1,,,,,,,,
2020Jun,115,1.4,.4449038979,1.01813776,3.6397682806,8.6833481503,15.5019088118,20.7119330994,20.7119330995,15.5019088118,8.6833481503,3.6397682806,1.1414788562,.3215628016,6.585339843964198,,,,,,,,
2020Jun,116,1.1,0,0,0,5,25,35,25,10,0,0,0,0,3.8461538461538463,,,,,,,,
2020Jun,127,1.5,.0386911332,.1907260013,1.3302990542,5.6409329348,14.9986176775,25.0273601731,26.220715709,17.2487855523,7.1218106336,1.8441893556,.2991806422,.0386911332,5.196927848825567,,,,,,,,
2020Jun,128,1.5,,,1,2,4,30,50,10,2,1,,,2.836074872376631,,,,,,,,
""
TARGET_PERIOD,FCT_SOURCE,12,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility,,,,,,,,
2020Sep,1,1.2,,1,2,4,15,41,25,8,3,1,,,3.8080731150038076,,,,,,,,
2020Sep,2,1.4,0,0,0,0,0,40,60,0,0,0,0,0,1.9230769230769231,,,,,,,,
2020Sep,4,1.2,,,2.5,5,20,40,20,10,2.5,,,,3.9408866995073892,,,,,,,,
2020Sep,5,1.2,,,,,30,50,20,,,,,,2.6315789473684212,,,,,,,,
2020Sep,6,1.1,,,,,,70,30,,,,,,1.7241379310344827,,,,,,,,
2020Sep,10,.8,,,5,30,60,5,,,,,,,2.197802197802198,,,,,,,,
2020Sep,14,1.5,0,0,1,4,15,30,29,16,4,1,0,0,4.432624113475177,,,,,,,,
2020Sep,16,1,0,1,2,10,24,31,21,8,2,1,0,0,4.646840148698885,,,,,,,,
2020Sep,20,1.2,,,,10,25,40,20,5,,,,,3.6363636363636362,,,,,,,,
2020Sep,22,1.2,,,,10,30,40,20,,,,,,3.3333333333333335,,,,,,,,
2020Sep,23,1.3,,,,5,23,28,24,13,6,1,,,4.716981132075471,,,,,,,,
2020Sep,24,1.2159286908,1,2,6,12,28,14,14,12,6,4,1,,6.418485237483955,,,,,,,,
2020Sep,26,1.4,,,,5,20,35,25,10,5,,,,4.166666666666667,,,,,,,,
2020Sep,32,1.2,,,,,,,,,,,,,1,,,,,,,,
2020Sep,33,1.3,,,,,,,,,,,,,1,,,,,,,,
2020Sep,37,1.5,,,,,2,46,52,,,,,,2.0729684908789388,,,,,,,,
2020Sep,39,1.2,,,,5,20,40,25,5,5,,,,3.7037037037037037,,,,,,,,
2020Sep,47,1,,,5,5,25,35,20,5,5,,,,4.25531914893617,,,,,,,,
2020Sep,48,1.3,,,,,10,75,15,,,,,,1.680672268907563,,,,,,,,
2020Sep,56,1.2,,,,5,20,50,20,5,,,,,2.985074626865672,,,,,,,,
2020Sep,57,1.3,0,0,0,10,20,55,15,0,0,0,0,0,2.6666666666666665,,,,,,,,
2020Sep,61,1.4,,,,,30,45,20,5,,,,,2.985074626865672,,,,,,,,
2020Sep,82,1.2,,,,,,,,,,,,,1,,,,,,,,
2020Sep,85,1.0748376101,.0000154999,.0040451111,.2811439215,5.3307723799,28.4236231833,43.7494419499,19.6014297972,2.5184957604,.0901569584,.0008732005,.0000022364,.0000000015,3.1837205231648236,,,,,,,,
2020Sep,88,1.2,,,5,9,11,15,20,20,15,5,,,6.657789613848203,,,,,,,,
2020Sep,89,1.5342723402,0,0,.1,1.2,10.2,31.6,37.2,16.7,2.8,.2,0,0,3.6040451803103806,,,,,,,,
2020Sep,93,1.6,,,,,2.5,35,45,12.5,5,,,,2.909090909090909,,,,,,,,
2020Sep,95,1.1600849928,.9099277014,1.5530842872,6.158537773,8.8729616826,16.9401796321,29.1220415222,22.5444764934,9.6237008275,3.292227977,.7968246883,.1364459831,.0495914322,5.355257404220748,,,,,,,,
2020Sep,96,1.1,,,3,7,30,35,15,7,3,,,,4.055150040551501,,,,,,,,
2020Sep,97,1.1,,,,,,,,,,,,,1,,,,,,,,
2020Sep,98,1.3,,,,5,35,35,20,5,,,,,3.4482758620689653,,,,,,,,
2020Sep,99,1.1,,,,,,,,,,,,,1,,,,,,,,
2020Sep,101,.9,,,,,,,,,,,,,1,,,,,,,,
2020Sep,102,1.1,,,,,,,,,,,,,1,,,,,,,,
2020Sep,103,1.3,,,,5,20,45,25,5,,,,,3.225806451612903,,,,,,,,
2020Sep,107,1.306894,.0241806631,.3061983156,2.2744854356,9.5222217145,22.5155867076,30.1112733276,22.7873462013,9.7536715764,2.3580268604,.3213111273,.0246150243,.0010830463,4.695624560244389,,,,,,,,
2020Sep,110,1.1036655564,.2396587988,.8780635822,4.2098845345,11.9441296839,21.9679766132,26.204006853,20.2742247553,10.1727248244,3.3085113884,.6969520745,.095002269,.0088646228,5.38669645090763,,,,,,,,
2020Sep,112,1.1,,,5,10,20,30,20,10,5,,,,5.128205128205129,,,,,,,,
2020Sep,114,1.8,,,,,,,,,,,,,1,,,,,,,,
2020Sep,115,1.2,.8120731148,1.650236226,5.3149193133,11.3292402907,18.0488554433,21.4924987572,19.1306232289,12.7281478018,6.3293174309,2.3520152783,.6530220503,.1590510645,6.571589166523253,,,,,,,,
2020Sep,116,1.3,0,0,0,5,20,35,30,10,0,0,0,0,3.7735849056603774,,,,,,,,
2020Sep,121,1.1623010149,.5,1,5,10,25,28,20,8,2,.5,0,0,4.991265285749938,,,,,,,,
2020Sep,127,1.5,.0386911332,.1907260013,1.3302990542,5.6409329348,14.9986176775,25.0273601731,26.220715709,17.2487855523,7.1218106336,1.8441893556,.2991806422,.0386911332,5.196927848825567,,,,,,,,
2020Sep,128,1.4,,,1,3,10,45,30,8,2,1,,,3.221649484536082,,,,,,,,
""
TARGET_PERIOD,FCT_SOURCE,12,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility,,,,,,,,
2020Dec,1,1.2,,1,2,4,15,36,30,8,3,1,,,3.9745627980922094,,,,,,,,
2020Dec,2,1.4,0,0,0,0,0,50,50,0,0,0,0,0,2.0,,,,,,,,
2020Dec,4,1.2,,,2.5,10,20,30,20,10,5,2.5,,,5.161290322580645,,,,,,,,
2020Dec,5,1,,,,7.5,22.5,40,22.5,7.5,,,,,3.669724770642202,,,,,,,,
2020Dec,6,1.1,,,,5,20,50,25,,,,,,2.816901408450704,,,,,,,,
2020Dec,8,.9,,,,5,30,35,20,10,,,,,3.7735849056603774,,,,,,,,
2020Dec,10,.9,,,5,15,70,10,,,,,,,1.9047619047619047,,,,,,,,
2020Dec,14,1.1,0,0,3,12,29,31,18,6,1,0,0,0,4.317789291882556,,,,,,,,
2020Dec,16,1.3,2,4,7,10,18,21,19,10,6,2,1,0,6.963788300835656,,,,,,,,
2020Dec,20,1.3,,,,5,20,38,32,5,,,,,3.427004797806717,,,,,,,,
2020Dec,22,1.3,,,,5,25,40,25,5,,,,,3.4482758620689653,,,,,,,,
2020Dec,23,1.3,,,,4,22,29,25,14,5,1,,,4.570383912248628,,,,,,,,
2020Dec,24,1.21,,,3,10,25,27,21,8,5,1,,,5.015045135406218,,,,,,,,
2020Dec,26,1.4,,,5,7,17,28,22,10,8,3,,,5.543237250554324,,,,,,,,
2020Dec,31,1.3,,,,5,20,35,30,10,,,,,3.7735849056603774,,,,,,,,
2020Dec,37,1.4,,,,,1,52,47,,,,,,2.035002035002035,,,,,,,,
2020Dec,38,1.47,,,,,,40,60,,,,,,1.9230769230769231,,,,,,,,
2020Dec,39,1.4,,,,,20,40,30,10,,,,,3.3333333333333335,,,,,,,,
2020Dec,47,1.1,,,,,,,,,,,,,1,,,,,,,,
2020Dec,48,1.3,0,0,0,0,13.6363636364,63.6363636363,9.0909090909,13.6363636364,0,0,0,0,2.2201834862416288,,,,,,,,
2020Dec,52,.8,0,1,6,20,31,25,11,5,1,0,0,0,4.608294930875576,,,,,,,,
2020Dec,56,1.13,,,,10,20,50,15,5,,,,,3.076923076923077,,,,,,,,
2020Dec,57,1.2,0,0,0,10,20,55,15,0,0,0,0,0,2.6666666666666665,,,,,,,,
2020Dec,61,1.4,,,,5,25,35,30,5,,,,,3.5714285714285716,,,,,,,,
2020Dec,63,1.3,,,,,20,65,10,5,,,,,2.1052631578947367,,,,,,,,
2020Dec,65,1.4,,,,,,,,,,,,,1,,,,,,,,
2020Dec,68,1.4,,,,,,,,,,,,,1,,,,,,,,
2020Dec,70,1.4,,,,,,,,,,,,,1,,,,,,,,
2020Dec,72,1.2,,,,,,,,,,,,,1,,,,,,,,
2020Dec,73,1.2,0,0,0,0,20,80,0,0,0,0,0,0,1.4705882352941178,,,,,,,,
2020Dec,82,1.4,,,,,,,,,,,,,1,,,,,,,,
2020Dec,85,1.1857171786,.0000037626,.001320901,.1229027799,3.1004952732,21.845686655,44.223368511,26.0648264788,4.4276543567,.21099492,.0027369237,.0000094296,.0000000085,3.1830991648946028,,,,,,,,
2020Dec,88,1.4,0,0,0,1.9716663363,8.6789055913,24.4685419682,33.7378112878,24.4553215737,6.5145800692,.1731731735,0,0,4.070512970863169,,,,,,,,
2020Dec,89,1.1,0,0,.9,8.2,28.8,38.5,19.6,3.8,.2,0,0,0,3.5992196891713872,,,,,,,,
2020Dec,90,1,0,.3,1.8,8.5,21,42.5,16.3,7.5,1.8,.2,.1,0,3.776349478486137,,,,,,,,
2020Dec,91,1.2,0,0,0,7.5,27.5,35,25,5,0,0,0,0,3.7209302325581395,,,,,,,,
2020Dec,93,1.9,,,,,2.5,10,45,37.5,5,,,,2.807017543859649,,,,,,,,
2020Dec,95,1.2616700118,.8535619614,1.4568780228,5.7770453334,8.3233234531,15.8908152063,27.318068067,21.1479522448,11.5053696429,4.3271958449,1.9863710493,1.3668996978,.0465194763,5.853265085391005,,,,,,,,
2020Dec,96,1.2,,,5,10,25,30,15,10,5,,,,5.0,,,,,,,,
2020Dec,97,1.2,,,,,,,,,,,,,1,,,,,,,,
2020Dec,98,1.5,,,,5,25,35,30,5,,,,,3.5714285714285716,,,,,,,,
2020Dec,99,1.2,,,,,,,,,,,,,1,,,,,,,,
2020Dec,101,1.2,,,,,,,,,,,,,1,,,,,,,,
2020Dec,102,1.3,,,,,,,,,,,,,1,,,,,,,,
2020Dec,103,1.3,,,,5,25,45,20,5,,,,,3.225806451612903,,,,,,,,
2020Dec,105,1.3,,,,,5,75,15,5,,,,,1.694915254237288,,,,,,,,
2020Dec,107,1.2013872609,.0057984879,.1137987266,1.2051497876,6.7348735106,19.9261041341,31.2860318465,26.0962473895,11.5588798918,2.7136679202,.336683747,.0219969544,.0007676038,4.454761728442393,,,,,,,,
2020Dec,108,1.1470406278,,,,12.44,22.49,30.93,22.25,10.78,1.11,,,,4.484864836937491,,,,,,,,
2020Dec,109,1.3,,,,,,,,,,,,,1,,,,,,,,
2020Dec,110,1.4,.0668834414,.3088359984,1.8731902892,6.8192058685,16.1294333013,24.8024511012,24.8024511012,16.1294333013,6.8192058685,1.8731902892,.3340455072,.0416739326,5.402851767212454,,,,,,,,
2020Dec,112,1.2,,,5,10,20,30,20,10,5,,,,5.128205128205129,,,,,,,,
2020Dec,114,1.8,,,,,,,,,,,,,1,,,,,,,,
2020Dec,115,1,1.4315394702,2.5672503904,7.4366186042,14.137787113,20.0700089793,21.2768472931,16.8448126464,9.9586831356,4.3960741857,1.4487082972,.3563304983,.0753393866,6.5624986123856335,,,,,,,,
2020Dec,116,1.4,0,0,0,2.5,15,30,30,15,5,2.5,0,0,4.371584699453552,,,,,,,,
2020Dec,117,1.6,,,,,,,,,,,,,1,,,,,,,,
2020Dec,118,1.3,,,,,,,,,,,,,1,,,,,,,,
2020Dec,119,1.2,,,,,,,,,,,,,1,,,,,,,,
2020Dec,121,1.42,0,0,0,5,20,40,30,5,0,0,0,0,3.389830508474576,,,,,,,,
2020Dec,127,1.5,.0139646396,.0501695139,.6151955823,4.0203648437,14.3103443374,27.8082606372,29.5403827144,17.156615495,5.4417756896,.9406128684,.0883490389,.0139646396,4.561795794303655,,,,,,,,
2020Dec,128,1.4,,1,1,3,10,40,30,10,3,2,,,3.671071953010279,,,,,,,,
""
TARGET_PERIOD,FCT_SOURCE,18,TN4_0,FN4_0TN3_6,FN3_5TN3_1,FN3_0TN2_6,FN2_5TN2_1,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility,,,
2021Mar,1,2.5,,,,,,,,,1,2,4,15,20,24,25,6,2,1,5.296610169491526,,,
2021Mar,2,.8,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,1.9230769230769231,,,
2021Mar,4,2,,,,,,1,1,1,2,4,10,15,17.5,17.5,17.5,10,2.5,1,7.278020378457059,,,
2021Mar,5,1.4,,,,,,,,,,5,15,35,30,15,,,,,3.8461538461538463,,,
2021Mar,6,.9,,,,,,,,,,15,50,25,10,,,,,,2.898550724637681,,,
2021Mar,8,.9,,,,,,,5,7,10,18,25,20,10,5,,,,,6.067961165048543,,,
2021Mar,14,2,,,,,,,0,1,4,16,31,30,14,4,0,0,0,0,4.262574595055414,,,
2021Mar,16,.5,0,0,0,0,1,2,3,5,8,15,20,18,13,10,4,1,0,0,7.473841554559044,,,
2021Mar,20,.5,,,,,,,,2,13,25,30,17,10,3,,,,,4.770992366412213,,,
2021Mar,23,1.2,,,,,,,,,6,11,18,22,23,13,7,,,,5.841121495327102,,,
2021Mar,24,.7930614887,,,,,,,,3,7,25,20,25,15,5,,,,,5.107252298263535,,,
2021Mar,26,1.8,,,,,,,,,5,10,15,20,25,15,5,5,,,6.0606060606060606,,,
2021Mar,31,.9,,,,,,,,,,,,,,,,,,,1,,,
2021Mar,32,1.1,,,,,,,,,,,,,,,,,,,1,,,
2021Mar,36,1.25,,,,,,,,5,5,15,25,30,15,5,,,,,4.878048780487805,,,
2021Mar,37,1.8,,,,,,,,,,2,8,27,35,26,2,,,,3.7009622501850488,,,
2021Mar,39,1.8,,,,,,,,,,,10,25,40,15,10,,,,3.7735849056603774,,,
2021Mar,56,.2,,,,,,,,,20,40,20,10,5,5,,,,,3.9215686274509802,,,
2021Mar,63,1.4,,,,,,,,,,,25,40,25,10,,,,,3.389830508474576,,,
2021Mar,73,.5,,,,,,,,,,45,55,,,,,,,,1.9801980198019802,,,
2021Mar,82,1,,,,,,,,,,,,,,,,,,,1,,,
2021Mar,89,1.3,,,,,,,,,,,,,,,,,,,1,,,
2021Mar,90,.6,0,0,0,.5,1.5,2,5,10,15,18,18,13,10,5,2,0,0,0,7.677543186180423,,,
2021Mar,93,1.3,,,,,,,,,,5,20,45,22.5,5,2.5,,,,3.3472803347280333,,,
2021Mar,95,.9983250592,.0000160112,.0001998267,.0019422708,.0147025407,.0866765041,.397957563,1.4229790898,3.9626585624,8.5941151466,14.5158363183,19.0945459692,19.5615376311,15.607129079,9.6977153971,4.6929100101,1.7686479611,.5191190288,.06131109,7.078291393464731,,,
2021Mar,96,1.2,,,,,,,,,3,10,15,30,25,10,5,2,,,5.030181086519115,,,
2021Mar,97,1.1,,,,,,,,,,,,,,,,,,,1,,,
2021Mar,98,.3,,,,,,,,10,15,30,30,15,,,,,,,4.25531914893617,,,
2021Mar,99,1.6,,,,,,,,,,,,30,70,,,,,,1.7241379310344827,,,
2021Mar,101,-.3,,,,,,,,,,,,,,,,,,,1,,,
2021Mar,102,.8,,,,,,,,,,,,,,,,,,,1,,,
2021Mar,105,1,,,,,,,,,,,5,95,,,,,,,1.1049723756906078,,,
2021Mar,107,1.2716587587,0,0,.0000000002,.0000000383,.0000044496,.0002747193,.0090401603,.1590633465,1.5015697452,7.6303529031,20.9323646398,31.0634785423,24.9580758974,10.8515991145,2.5488785555,.3225626823,.0219221687,.000813037,4.5231062183130515,,,
2021Mar,108,-.9,,,,.01,4.55,12.98,21.4,26.8,19.77,11.39,3.1,,,,,,,,5.2754357773723894,,,
2021Mar,110,.5,,,,,,,,,,,,,,,,,,,1,,,
2021Mar,112,-.5,,,,,,5,10,25,30,15,10,5,,,,,,,5.0,,,
2021Mar,114,1.7,,,,,,,,,,,,,,,,,,,1,,,
2021Mar,115,1.1,.0000010938,.0000114175,.0001899315,.0022492505,.0198266347,.1301303242,.6361594319,2.3170669897,6.289368135,12.7251057187,19.1941096454,21.5857133206,18.0995667222,11.3150401236,5.2733307823,1.8318236889,.4741956047,.1061111848,6.541692741442557,,,
2021Mar,117,.1,,,,,,,,,,,,,,,,,,,1,,,
2021Mar,119,1.2,,,,,,,,,,5,5,80,5,5,,,,,1.5384615384615385,,,
2021Mar,121,1.2,0,0,0,0,0,1,2,4,10,15,20,25,15,5,2,1,0,0,6.1500615006150054,,,
2021Mar,127,1.6,0,0,0,0,0,0,2.6051633318,2.0691468739,4.4991396558,7.796359283,11.5460303556,14.6136149629,15.8077532949,14.6140740213,11.5467557714,7.7970940613,4.4997050563,2.6051633318,8.900162668010328,,,
2021Mar,128,1.1,,,,,,,1,2,4,12,22,35,13,5,3,1,1,1,4.807692307692306,,,
""
TARGET_PERIOD,FCT_SOURCE,18,TN4_0,FN4_0TN3_6,FN3_5TN3_1,FN3_0TN2_6,FN2_5TN2_1,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility,,,
2021Jun,4,.2,.5,1,1,2,3,4,5,10,15,20,15,12.5,7.5,2.5,1,,,,8.156606851549755,,,
2021Jun,5,1.4,,,,,,,,,,5,15,35,30,15,,,,,3.8461538461538463,,,
2021Jun,6,1.1,,,,,,,,,,5,35,45,15,,,,,,2.857142857142857,,,
2021Jun,14,.7,,,,,,,0,2,11,24,34,22,6,1,0,0,0,0,4.205214465937763,,,
2021Jun,16,1.9,0,0,0,0,0,0,1,2,3,5,8,16,20,17,13,10,4,1,7.496251874062969,,,
2021Jun,20,.6,,,,,,,,2,13,25,30,17,10,3,,,,,4.770992366412213,,,
2021Jun,23,.9,,,,,,,,2,7,22,25,23,15,5,1,,,,5.1493305870236865,,,
2021Jun,24,.9672776773,,,,,,,,,5,15,25,30,20,5,,,,,4.545454545454546,,,
2021Jun,26,1.8,,,,,,,,,5,10,15,20,25,15,5,5,,,6.0606060606060606,,,
2021Jun,32,2.1,,,,,,,,,,,,,,,,,,,1,,,
2021Jun,36,1.25,,,,,,,,,,10,25,30,25,10,,,,,4.25531914893617,,,
2021Jun,39,.62,,,,,,,,,25,40,15,10,10,,,,,,3.7735849056603774,,,
2021Jun,47,1.6,,,,,,,,,,,,,,,,,,,1,,,
2021Jun,52,.7,0,0,0,0,0,0,0,1,8,22,35,23,8,2,1,0,0,0,4.2158516020236085,,,
2021Jun,56,.4,,,,,,,,10,10,30,30,10,10,,,,,,4.545454545454546,,,
2021Jun,61,.7,,,,,,,,,10,20,35,25,10,,,,,,4.081632653061225,,,
2021Jun,68,.5,,,,,,,,,,,,,,,,,,,1,,,
2021Jun,72,1,,,,,,,,,,,,,,,,,,,1,,,
2021Jun,73,.6,,,,,,,,,,40,50,10,,,,,,,2.380952380952381,,,
2021Jun,82,1.2464308542,,,,,,,,,,,,,,,,,,,1,,,
2021Jun,85,.4721306931,0,0,0,0,0,0,0,.0000000449,.0539034415,33.9566402467,65.2651302254,.7243203179,.0000057236,0,0,0,0,0,1.847364062074762,,,
2021Jun,88,1.3,,,,,,,,,,,,,,,,,,,1,,,
2021Jun,89,2,,,,,,,,0,0,0,.9,10.8,37.1,38.2,11.9,1.1,0,0,3.2300576242280155,,,
2021Jun,90,.6,0,0,0,.5,1.5,2,5,10,15,18,18,13,10,5,2,0,0,0,7.677543186180423,,,
2021Jun,91,1.3,0,0,0,0,0,0,0,0,2.5,5,17.5,37.5,27.5,10,0,0,0,0,3.8461538461538463,,,
2021Jun,93,2.1,,,,,,,,,,5,10,10,25,35,15,,,,4.3478260869565215,,,
2021Jun,95,.9104932051,.0000253959,.0003033343,.0028216638,.0204416259,.1153325748,.506774693,1.7342201582,4.6218933557,9.593166681,15.507094727,19.5220431699,19.1402002559,14.6148400056,8.6909656388,4.0250231257,1.451760937,.4078009307,.0452917268,7.081152781208977,,,
2021Jun,96,1.1,,,,,,,,5,7,10,20,25,15,10,5,3,,,6.418485237483954,,,
2021Jun,97,.9,,,,,,,,,,,,,,,,,,,1,,,
2021Jun,98,1.3,,,,,,,,,5,20,25,35,15,,,,,,4.0,,,
2021Jun,99,1.5,,,,,,,,,,,,,,,,,,,1,,,
2021Jun,101,1,,,,,,,,,,,,,,,,,,,1,,,
2021Jun,102,1.4,,,,,,,,,,,,,,,,,,,1,,,
2021Jun,105,1,,,,,,,,,,,,95,5,,,,,,1.1049723756906078,,,
2021Jun,107,1.267908834,0,0,0,.0000000137,.0000020431,.0001566702,.0061841554,.1261118847,1.3339097893,7.3468341945,21.143811946,31.8750656043,25.1973716407,10.4384171302,2.26134801,.2553536376,.0149721221,.0004611582,4.40936736688897,,,
2021Jun,109,.8,0,0,0,0,0,0,0,5,5,20,40,20,5,5,0,0,0,0,4.0,,,
2021Jun,110,1.4,0,.0000000014,.0000001011,.0000048667,.0001517071,.0030659525,.0402150997,.3427368434,1.8999657414,6.8574900568,16.1275285504,24.7288410796,24.7288410794,16.1275285504,6.8574900568,1.8999657414,.3427368434,.0434377285,5.420835604284665,,,
2021Jun,112,.3,,,,,,,5,10,20,30,20,10,5,,,,,,5.128205128205129,,,
2021Jun,114,1.1,,,,,,,,,,,,,,,,,,,1,,,
2021Jun,115,1.1,.0000014532,.0000144914,.0002301345,.0026114012,.0221702553,.1408680558,.6700857817,2.3869520399,6.3687761243,12.7306778026,19.0674291669,21.4000516412,17.9982493831,11.342856706,5.3561071352,1.8947162203,.502017446,.1161847614,6.598620975237747,,,
2021Jun,117,1.2,,,,,,,,,,,,,,,,,,,1,,,
2021Jun,118,.6,,,,,,,,,,,,,,,,,,,1,,,
2021Jun,121,1.3,0,0,0,0,0,1,2,3,7,15,20,25,20,6,1,0,0,0,5.714285714285714,,,
2021Jun,127,.3,0,0,0,0,.5,1,5,10,15,25,17,14,7,4,1,.5,0,0,6.546644844517185,,,
2021Jun,128,1,,,,,,1,1,2,4,10,20,40,10,5,4,2,1,,4.409171075837743,,,
2021Jun,131,.9,,,,,,,,,5,10,40,20,15,10,,,,,4.081632653061225,,,
""
TARGET_PERIOD,FCT_SOURCE,18,TN4_0,FN4_0TN3_6,FN3_5TN3_1,FN3_0TN2_6,FN2_5TN2_1,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility,,,
2021Sep,1,1.5,,,,,,,,,1,3,9,30,38,13,5,1,,,3.802281368821292,,,
2021Sep,2,1.3,0,0,0,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0,1.6,,,
2021Sep,4,.5,,,,,,2.5,2.5,5,15,25,25,15,5,2.5,2.5,,,,5.633802816901408,,,
2021Sep,5,1.2,,,,,,,,,,10,20,35,25,10,,,,,4.081632653061225,,,
2021Sep,6,.6,,,,,,,,,5,35,45,15,,,,,,,2.857142857142857,,,
2021Sep,8,1.7,,,,,,,,,,5,10,25,30,20,10,,,,4.651162790697675,,,
2021Sep,10,1.2,,,,,,,,,,5,25,55,10,5,,,,,2.6315789473684212,,,
2021Sep,14,.8,,,,,,,0,1,10,23,31,25,8,2,0,0,0,0,4.378283712784588,,,
2021Sep,16,.7,0,0,0,0,1,2,3,5,8,16,20,17,13,10,4,1,0,0,7.496251874062969,,,
2021Sep,20,1,,,,,,,,,2,13,25,30,17,10,3,,,,4.770992366412213,,,
2021Sep,22,1.1,,,,,,,,,,15,25,45,15,,,,,,3.225806451612903,,,
2021Sep,23,1.2,,,,,,,,2,7,15,20,25,20,10,1,,,,5.543237250554323,,,
2021Sep,24,.9844,,,,,,,,2.5,5,15,24,28,18,5,2.5,,,,5.072279989855439,,,
2021Sep,26,1.7,,,,,,,,2,3,10,15,20,25,15,7,3,,,6.075334143377887,,,
2021Sep,29,1,0,1,1,1,1,1,1,2,3,10,15,40,15,5,2,1,1,0,4.545454545454545,,,
2021Sep,30,1.06,,,,,,,,,,,,,,,,,,,1,,,
2021Sep,32,1.9,,,,,,,,,,,,,,,,,,,1,,,
2021Sep,36,1,,,,,,,,,10,20,30,30,10,,,,,,4.166666666666667,,,
2021Sep,37,1.5,,,,,,,,,,,2,47,49,2,,,,,2.1654395842356,,,
2021Sep,39,1.8,,,,,,,,,,5,15,25,35,15,5,,,,4.25531914893617,,,
2021Sep,47,1,,,,,,,,,,,,,,,,,,,1,,,
2021Sep,49,.7,,,,,,,,,,,,,,,,,,,1,,,
2021Sep,52,1.1,0,0,0,0,0,0,0,1,3,9,24,36,20,6,1,0,0,0,4.166666666666666,,,
2021Sep,56,1.3,,,,,,,,,,5,20,40,20,10,5,,,,3.9215686274509802,,,
2021Sep,63,1.3,,,,,,,,,,,10,65,25,,,,,,2.0202020202020203,,,
2021Sep,68,1,,,,,,,,,,,,,,,,,,,1,,,
2021Sep,85,.98664,0,0,0,0,0,0,.0006,.04128,1.066,9.733,31.92442,38.03,16.48,2.5787,.143,.003,0,0,3.521648319872845,,,
2021Sep,88,.8,,,,,,,,,,,,,,,,,,,1,,,
2021Sep,89,1.51,0,0,0,0,0,0,0,0,2.5,5,10,25,35,15,5,2.5,0,0,4.4692737430167595,,,
2021Sep,90,.6,0,0,0,.5,1.5,2,5,10,15,18,18,13,10,5,2,0,0,0,7.677543186180423,,,
2021Sep,93,1.5,,,,,,,,,,2.5,7.5,30,47.5,12.5,,,,,2.962962962962963,,,
2021Sep,95,.0701082145,.0067800065,.0372071937,.166070867,.6028784025,1.7800644794,4.2747574444,8.3494324539,13.2639284097,17.1378807993,18.0099207432,15.3934590442,10.7011481012,6.0505417757,2.7824533272,1.0407136426,.3165952119,.0783334352,.0078346624,7.796921720668709,,,
2021Sep,96,1.1,,,,,,,,5,7,10,20,25,15,10,5,3,,,6.418485237483954,,,
2021Sep,97,1,,,,,,,,,,,,,,,,,,,1,,,
2021Sep,98,1.5,,,,,,,,,,5,20,35,35,5,,,,,3.4482758620689653,,,
2021Sep,99,1.46,,,,,,,,,,,,,,,,,,,1,,,
2021Sep,101,.8,,,,,,,,,,,,,,,,,,,1,,,
2021Sep,105,1.1,,,,,,,,,,,,95,5,,,,,,1.1049723756906078,,,
2021Sep,107,1.6,0,0,0,0,0,0,.001,.028,.349,2.465,9.91,22.739,29.83,22.378,9.596,2.349,.328,.027,4.739825872050015,,,
2021Sep,109,1.15,0,0,0,0,0,0,0,0,0,5,25,50,15,5,0,0,0,0,2.9411764705882355,,,
2021Sep,110,1.1,0,0,0,0,.001,.019,.181,1.114,4.528,12.174,21.673,25.556,19.959,10.325,3.536,.801,.12,.013,5.522000152212831,,,
