"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"35",7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594,7.672594
"36",8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263,8.115263
"37",9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667,9.042667
"38",9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569,9.60569
"39",9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234,9.889234
"40",10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625,10.127625
"41",10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741,10.261741
"42",10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534,10.337534
"43",10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203,10.240203
"44",10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192,10.221192
"45",10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768,10.117768
"46",10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976,10.080976
"47",10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588,10.352588
"48",10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664,10.701664
"49",11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347,11.042347
"50",11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948,11.396948
"51",11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456,11.622456
"52",11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547,11.961547
"53",12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062,12.222062
